From,PM2.5 (µg/m3)
01/02/2023 00:00,35
01/02/2023 00:15,35
01/02/2023 00:30,35
01/02/2023 00:45,34
01/02/2023 01:00,34
01/02/2023 01:15,34
01/02/2023 01:30,34
01/02/2023 01:45,35
01/02/2023 02:00,35
01/02/2023 02:15,35
01/02/2023 02:30,35
01/02/2023 02:45,32
01/02/2023 03:00,32
01/02/2023 03:15,32
01/02/2023 03:30,32
01/02/2023 03:45,44
01/02/2023 04:00,44
01/02/2023 04:15,44
01/02/2023 04:30,44
01/02/2023 04:45,28
01/02/2023 05:00,28
01/02/2023 05:15,28
01/02/2023 05:30,28
01/02/2023 05:45,33
01/02/2023 06:00,33
01/02/2023 06:15,33
01/02/2023 06:30,33
01/02/2023 06:45,45
01/02/2023 07:00,45
01/02/2023 07:15,45
01/02/2023 07:30,45
01/02/2023 07:45,68
01/02/2023 08:00,68
01/02/2023 08:15,68
01/02/2023 08:30,68
01/02/2023 08:45,46
01/02/2023 09:00,46
01/02/2023 09:15,46
01/02/2023 09:30,46
01/02/2023 09:45,31
01/02/2023 10:00,31
01/02/2023 10:15,31
01/02/2023 10:30,31
01/02/2023 10:45,22
01/02/2023 11:00,22
01/02/2023 11:15,22
01/02/2023 11:30,22
01/02/2023 11:45,23
01/02/2023 12:00,23
01/02/2023 12:15,23
01/02/2023 12:30,23
01/02/2023 12:45,23
01/02/2023 13:00,23
01/02/2023 13:15,23
01/02/2023 13:30,23
01/02/2023 13:45,18
01/02/2023 14:00,18
01/02/2023 14:15,18
01/02/2023 14:30,18
01/02/2023 14:45,14
01/02/2023 15:00,14
01/02/2023 15:15,14
01/02/2023 15:30,14
01/02/2023 15:45,17
01/02/2023 16:00,17
01/02/2023 16:15,17
01/02/2023 16:30,17
01/02/2023 16:45,20
01/02/2023 17:00,20
01/02/2023 17:15,20
01/02/2023 17:30,20
01/02/2023 17:45,41
01/02/2023 18:00,41
01/02/2023 18:15,41
01/02/2023 18:30,41
01/02/2023 18:45,44
01/02/2023 19:00,44
01/02/2023 19:15,44
01/02/2023 19:30,44
01/02/2023 19:45,50
01/02/2023 20:00,50
01/02/2023 20:15,50
01/02/2023 20:30,50
01/02/2023 20:45,42
01/02/2023 21:00,42
01/02/2023 21:15,42
01/02/2023 21:30,42
01/02/2023 21:45,42
01/02/2023 22:00,42
01/02/2023 22:15,42
01/02/2023 22:30,42
01/02/2023 22:45,50
01/02/2023 23:00,50
01/02/2023 23:15,50
01/02/2023 23:30,50
01/02/2023 23:45,61
02/02/2023 00:00,61
02/02/2023 00:15,61
02/02/2023 00:30,61
02/02/2023 00:45,52
02/02/2023 01:00,52
02/02/2023 01:15,52
02/02/2023 01:30,52
02/02/2023 01:45,55
02/02/2023 02:00,55
02/02/2023 02:15,55
02/02/2023 02:30,55
02/02/2023 02:45,44
02/02/2023 03:00,44
02/02/2023 03:15,44
02/02/2023 03:30,44
02/02/2023 03:45,38
02/02/2023 04:00,38
02/02/2023 04:15,38
02/02/2023 04:30,38
02/02/2023 04:45,40
02/02/2023 05:00,40
02/02/2023 05:15,40
02/02/2023 05:30,40
02/02/2023 05:45,44
02/02/2023 06:00,44
02/02/2023 06:15,44
02/02/2023 06:30,44
02/02/2023 06:45,51
02/02/2023 07:00,51
02/02/2023 07:15,51
02/02/2023 07:30,51
02/02/2023 07:45,69
02/02/2023 08:00,69
02/02/2023 08:15,69
02/02/2023 08:30,69
02/02/2023 08:45,63
02/02/2023 09:00,63
02/02/2023 09:15,63
02/02/2023 09:30,63
02/02/2023 09:45,42
02/02/2023 10:00,42
02/02/2023 10:15,42
02/02/2023 10:30,42
02/02/2023 10:45,40
02/02/2023 11:00,40
02/02/2023 11:15,40
02/02/2023 11:30,40
02/02/2023 11:45,31
02/02/2023 12:00,31
02/02/2023 12:15,31
02/02/2023 12:30,31
02/02/2023 12:45,36
02/02/2023 13:00,36
02/02/2023 13:15,36
02/02/2023 13:30,36
02/02/2023 13:45,30
02/02/2023 14:00,30
02/02/2023 14:15,30
02/02/2023 14:30,30
02/02/2023 14:45,27
02/02/2023 15:00,27
02/02/2023 15:15,27
02/02/2023 15:30,27
02/02/2023 15:45,21
