From,CO (mg/m3)
01/02/2023 00:00,0.31
01/02/2023 00:15,0.33
01/02/2023 00:30,0.38
01/02/2023 00:45,0.38
01/02/2023 01:00,0.38
01/02/2023 01:15,0.37
01/02/2023 01:30,0.34
01/02/2023 01:45,0.35
01/02/2023 02:00,0.34
01/02/2023 02:15,0.35
01/02/2023 02:30,0.39
01/02/2023 02:45,0.46
01/02/2023 03:00,0.47
01/02/2023 03:15,0.44
01/02/2023 03:30,0.41
01/02/2023 03:45,0.41
01/02/2023 04:00,0.41
01/02/2023 04:15,0.42
01/02/2023 04:30,0.39
01/02/2023 04:45,0.37
01/02/2023 05:00,0.34
01/02/2023 05:15,0.33
01/02/2023 05:30,0.32
01/02/2023 05:45,0.32
01/02/2023 06:00,0.31
01/02/2023 06:15,0.31
01/02/2023 06:30,0.31
01/02/2023 06:45,0.33
01/02/2023 07:00,0.37
01/02/2023 07:15,0.45
01/02/2023 07:30,0.52
01/02/2023 07:45,0.47
01/02/2023 08:00,0.49
01/02/2023 08:15,0.34
01/02/2023 08:30,0.29
01/02/2023 08:45,0.26
01/02/2023 09:00,0.26
01/02/2023 09:15,0.26
01/02/2023 09:30,0.26
01/02/2023 09:45,0.54
01/02/2023 10:00,0.82
01/02/2023 10:15,1.1
01/02/2023 10:30,0.27
01/02/2023 10:45,0.25
01/02/2023 11:00,0.24
01/02/2023 11:15,0.23
01/02/2023 11:30,0.22
01/02/2023 11:45,0.14
01/02/2023 12:00,0.15
01/02/2023 12:15,0.31
01/02/2023 12:30,0.29
01/02/2023 12:45,0.27
01/02/2023 13:00,0.24
01/02/2023 13:15,0.1
01/02/2023 13:30,0.23
01/02/2023 13:45,0.31
01/02/2023 14:00,0.3
01/02/2023 14:15,0.31
01/02/2023 14:30,0.34
01/02/2023 14:45,0.38
01/02/2023 15:00,0.37
01/02/2023 15:15,0.3
01/02/2023 15:30,0.26
01/02/2023 15:45,0.29
01/02/2023 16:00,0.29
01/02/2023 16:15,0.27
01/02/2023 16:30,0.27
01/02/2023 16:45,0.31
01/02/2023 17:00,0.33
01/02/2023 17:15,0.35
01/02/2023 17:30,0.46
01/02/2023 17:45,0.53
01/02/2023 18:00,0.53
01/02/2023 18:15,0.53
01/02/2023 18:30,0.49
01/02/2023 18:45,0.46
01/02/2023 19:00,0.52
01/02/2023 19:15,0.54
01/02/2023 19:30,0.6
